Frontal_logbp_delta,Frontal_relbp_delta,Frontal_logbp_theta,Frontal_relbp_theta,Frontal_logbp_alpha,Frontal_relbp_alpha,Frontal_logbp_beta,Frontal_relbp_beta,Frontal_theta_beta,Frontal_alpha_theta,Central_logbp_delta,Central_relbp_delta,Central_logbp_theta,Central_relbp_theta,Central_logbp_alpha,Central_relbp_alpha,Central_logbp_beta,Central_relbp_beta,Central_theta_beta,Central_alpha_theta,Parietal_logbp_delta,Parietal_relbp_delta,Parietal_logbp_theta,Parietal_relbp_theta,Parietal_logbp_alpha,Parietal_relbp_alpha,Parietal_logbp_beta,Parietal_relbp_beta,Parietal_theta_beta,Parietal_alpha_theta,Occipital_logbp_delta,Occipital_relbp_delta,Occipital_logbp_theta,Occipital_relbp_theta,Occipital_logbp_alpha,Occipital_relbp_alpha,Occipital_logbp_beta,Occipital_relbp_beta,Occipital_theta_beta,Occipital_alpha_theta,label,subject
-22.18169327201784,0.4348847649107204,-22.819082179336515,0.07533250613168338,-22.72185178149021,0.11651473401267301,-22.900626879284612,0.043751042211462955,0.20266251350917266,0.28890658709446415,-22.27201081461789,0.4229541008469901,-22.92136564329326,0.041402450352502125,-22.728967125941463,0.129936888070022,-22.946661098139252,0.030978716916110777,0.101753570671375,0.31136543399796,-22.131734587325372,0.4687086584230427,-22.910436823688723,0.03967752343876374,-22.663994575263654,0.1414040884696125,-22.939019007954588,0.02942076423415247,0.11216339267538566,0.3884681899173163,-22.558748734326304,0.1827294454118097,-22.8636946162618,0.05403149963972649,-22.25332393331168,0.3576330390869855,-22.819450742690233,0.0703599601652692,0.14321315432748463,0.9908054624443206,0,1
-22.3295891214915,0.3833468180801899,-22.813210230918926,0.09026707454245078,-22.826695356061688,0.08395503911739538,-22.89419064705229,0.05361037117484143,0.2077109069144939,0.17815883114399944,-22.517181494428073,0.32094016446634166,-22.910444987502306,0.059209229872408335,-22.858842069018166,0.08797713402947363,-22.92625541203944,0.050688138797093246,0.11073258799598897,0.1619531755156711,-22.483341482128072,0.3206609321775042,-22.898926434467324,0.06024481981399362,-22.77504473835133,0.12689931955655478,-22.908940362440074,0.05520893403418452,0.12039948058484796,0.2510817825593407,-22.642867334673024,0.19318243571328414,-22.857430474063047,0.07593687438956827,-22.61695419279343,0.2091213790244563,-22.842733526882103,0.0831902336882755,0.15274013384715018,0.42685629128308017,1,1
-22.716994164950126,0.18385256526585708,-22.875605958509663,0.082367142235657,-22.793928982704536,0.13261611858660702,-22.888099719803233,0.07503629834440767,0.1412566951496898,0.22460808458071146,-22.696533479450107,0.21697029236139254,-22.941826652345735,0.04876324884672655,-22.837547079683514,0.11526694125383156,-22.915287240392303,0.06503644044793153,0.07848035808345347,0.19050177744980806,-22.673907762659557,0.20797212018563435,-22.942348684691176,0.042936497123567445,-22.680529139526055,0.2033458789955625,-22.915637721374818,0.05744548930515389,0.07799946314645155,0.3794030364505785,-22.738707845347164,0.15064449696808507,-22.930731812925774,0.04519578939500009,-22.60021608711916,0.24029656435842162,-22.837877466904413,0.0936623965032074,0.0826895324776967,0.48242105250539635,1,1
-22.595081689541164,0.2527522555396025,-22.886986586949952,0.06992797652336709,-22.80003243576749,0.11892552219105151,-22.882347075795067,0.07243607976479585,0.12905377348462466,0.22050057554417068,-22.566459887893572,0.2903080808345372,-22.904240298011274,0.06438066293046993,-22.836240099714015,0.1039431543070473,-22.94277855014484,0.043125025151453396,0.11900594787307293,0.1848724366077737,-22.411990537787027,0.35462202896002537,-22.924499452694256,0.04462976147050154,-22.7345489610648,0.14149259597519626,-22.912908641236456,0.05002797422687538,0.09527389673049111,0.3055743543416258,-22.745082489649786,0.13596296663919044,-22.892777823773994,0.05970158253648234,-22.549193759037507,0.2561493251436483,-22.808661449422942,0.10174962885067078,0.11454679889845443,0.5345909555594359,1,1
-22.408756192386516,0.2974101592955174,-22.87909863738271,0.05507769435914325,-22.584183709571928,0.1934908954793666,-22.773882830801977,0.09984868342428485,0.12286071435196547,0.4795042525997184,-22.867659266156785,0.0942356977462379,-22.926022391780577,0.05772191843433721,-22.70909656395564,0.20490249912213782,-22.862283248940468,0.09770752861587774,0.08914068825897657,0.3372593817646767,-22.789865322340262,0.12176893242916366,-22.941365418954938,0.040332698641668566,-22.522373296746053,0.2994238946847214,-22.85094462234586,0.08744589615581802,0.0740110118296659,0.601443406658941,-22.85365787985127,0.07776526746952757,-22.902908811561712,0.054139358497718115,-22.39710007121659,0.3622286294343203,-22.822710006772933,0.09321757242203331,0.10676962766224743,0.7740112868768728,0,1
-22.407326381866646,0.34706106530612874,-22.879966940868968,0.06366607727672324,-22.832921815039672,0.0862585686795768,-22.845008797921476,0.08035219313801507,0.1310787347803363,0.18391134678415877,-22.49885892366524,0.337175274730962,-22.93410681454117,0.04669338827714591,-22.881004682483383,0.07574303257630956,-22.9128445840054,0.05814010385251808,0.08581722486281136,0.1421987686177877,-22.397544193679945,0.3644514652533972,-22.94693289295026,0.0342246076269268,-22.733645859847787,0.1414477099690356,-22.92035003605164,0.04637452089399047,0.07389368869025097,0.31362420793432577,-22.788831576537643,0.11093724917759866,-22.91717045883741,0.047618342415953405,-22.609190718791318,0.21439023270162966,-22.683989981984798,0.1690463486126495,0.08156363409375922,0.4636564269153019,0,1
-22.552612539475113,0.23799683564619314,-22.841094326572787,0.07980325777235586,-22.573661868580984,0.22484809858792926,-22.87399669214363,0.06449151674537487,0.17433613615922722,0.4752987796486455,-22.656755113755473,0.1991940015672737,-22.9394253125302,0.040278317673258554,-22.575216356336394,0.2540233616992162,-22.893240660366565,0.06327292016630487,0.07905927391887793,0.522171178808375,-22.68587703819623,0.16379251975577122,-22.863826972690863,0.07114949355407557,-22.500851046019466,0.2793008524671087,-22.836760173841395,0.0842000289460318,0.14558484085532067,0.5871804204252427,-22.677594425131264,0.09441815995182326,-22.805006664314615,0.05600991869439656,-21.864223856211275,0.497508711760537,-22.666644722055338,0.09795299357047751,0.17255310546772615,1.7601446322380128,1,1
-22.124503232986275,0.4574848503825466,-22.878427553218803,0.04967389818142178,-22.711129906146738,0.11566808193645411,-22.84477388215062,0.06207733381480268,0.1325352445156901,0.3191775071553513,-22.08211149587978,0.5036858707863633,-22.928173321472627,0.032927331841824795,-22.783980169170277,0.08780950062028837,-22.86380123083225,0.05645344211450164,0.08725710215473582,0.2481659517888366,-21.936277191925267,0.5055331966926311,-22.935728186627998,0.024164200531076572,-22.53662703009298,0.16169062527406677,-22.826171007451162,0.05662872346396826,0.07723806482772434,0.5766653700030535,-22.723566108712948,0.11537195948988999,-22.88290018194599,0.05023297236682905,-22.320655336996193,0.33480673735112504,-22.69050216211826,0.13023905778234868,0.10988980241036418,0.8878101437039854,1,1
-22.808793193149626,0.12047089837968418,-22.887277928983053,0.07386487358132683,-22.709966277486995,0.18460663674226246,-22.807872061017534,0.1210398955586263,0.11952252845581611,0.32340345367768947,-22.828213577455077,0.1239014572692255,-22.90186823010887,0.07484212370157237,-22.791650584122703,0.1496304441846068,-22.881437655666183,0.08809023486309343,0.11424674279462453,0.23312592670622412,-22.839385554848867,0.10522274859712369,-22.903357398815043,0.0668922466451733,-22.676916434912254,0.21434190362561792,-22.83479213515279,0.10807053133582252,0.10764850202220082,0.3694169407787347,-22.79612151753882,0.10115686951390204,-22.890212873482486,0.05689930193977721,-22.406745961067365,0.3357794945322402,-22.78824731633014,0.10505293987623923,0.1145454692707219,0.7485283046012522,1,1
-22.800473588543664,0.12511406882276555,-22.922308730612492,0.05399236188107621,-22.709123925651742,0.18442182003706692,-22.806140743817696,0.12161016421733023,0.08757423502983178,0.3359753737744404,-22.895961408232157,0.0860188329801301,-22.941850751904234,0.054344714700365004,-22.868969145605547,0.10533998852675303,-22.826569544980295,0.13676266470874732,0.07179620405477571,0.15617209233074822,-22.912687087280187,0.05818551290684325,-22.939968680349942,0.043550006279679095,-22.55521291432939,0.29186889439867886,-22.800302141886707,0.12286840627696093,0.07157005845249233,0.5515531508368552,-22.910413275423448,0.05717419123246178,-22.93759417598137,0.04311198883189503,-22.610301219488704,0.24072611390462542,-22.762460864654866,0.14079684278671006,0.07090302284103778,0.4716820275182425,0,1
