bp_delta,bp_theta,bp_alpha,bp_beta,entropy,mi,coh_alpha,pac,label,subject
3.9211189255180145e-12,9.18027097933941e-13,4.847142409164712e-12,2.341740070557708e-13,3.9247808724655524,0.15940043356710742,0.4244684007173714,0.013081920305920368,0,2
4.649560493188811e-12,8.835953223317847e-13,2.019388872152882e-12,2.6267641286073723e-13,3.8789325772686065,0.12882953926007784,0.3293019080291639,0.012181778409679494,1,2
5.1875184700662174e-12,8.023241720730198e-13,2.753498435747958e-12,2.1375730185300816e-13,3.8795609866589365,0.17733694067907826,0.3780045955876406,-0.004447659361356073,0,2
2.7133198289648103e-12,8.589143040669606e-13,2.6432136131346088e-12,2.6286733817494873e-13,3.7951500856005937,0.20147376851243948,0.411278863051615,-0.0025084556037203876,1,2
3.777975828951863e-12,1.198497375214306e-12,2.8492070421792574e-12,2.655860078483454e-13,3.9432760023498745,0.14101927568058545,0.3635873358498798,0.01622738219045142,1,2
3.891316965290744e-12,8.252235823833363e-13,1.7448849207320174e-12,2.6531279037886843e-13,3.9456758335330946,0.15742938561317377,0.3986111813621033,-0.002339938749794604,1,2
2.217640123034113e-12,1.315666172836871e-12,2.215358686853188e-12,2.840228340329339e-13,3.9770397982135552,0.10058093203612511,0.37097393529781914,-0.00019709954916503772,1,2
2.9174780564737597e-12,1.2631386513000099e-12,1.881813013298597e-12,2.702167748014822e-13,3.8525889546994505,0.15214469158561963,0.33310869981015495,0.008224303560613573,1,2
2.5320805156934238e-12,1.0271724082220853e-12,2.2882724330525957e-12,2.2939022213793405e-13,3.8089241579347366,0.18642547674019902,0.41309631467266256,-0.009832378087615256,1,2
9.41955819335138e-12,3.3293494382831916e-12,1.2323936319387328e-11,1.017591966283108e-12,3.9674011868547208,0.1356944484941554,0.25211596308024026,-0.004134175762698598,0,3
1.488503578944937e-10,1.299159829216181e-11,1.1686567506845897e-11,2.5565224820646203e-12,3.8678059462449674,0.12097109350611097,0.23538593523900586,0.0026909491170689277,1,3
2.94607721388049e-11,3.726280731587787e-12,8.826942220853736e-12,9.740653448494832e-13,3.9058090658372535,0.15764300407647672,0.23826735517095354,0.007098331869758169,0,3
7.762706819454788e-12,2.0847290528149392e-12,9.175956127209933e-12,9.400574371880011e-13,3.8764718251157406,0.17311102294498723,0.2439321054258999,0.00015200121526256312,1,3
1.0254035107699775e-11,1.8046832921475815e-12,8.87694032862099e-12,8.350705726178966e-13,3.9252240431152856,0.15950266911614785,0.3144729675526519,0.007877716542049265,1,3
1.9573010631246337e-11,2.6076643141635683e-12,9.26344945460529e-12,8.81131555500195e-13,3.9511531966977462,0.15845173484551625,0.2935083772934046,0.004670691179447555,0,3
5.23937766644075e-12,2.4851080286714983e-12,8.21799739275443e-12,9.994255117169776e-13,3.9167437418489754,0.12095678420081053,0.24359248106191175,-0.004669398107411921,1,3
1.2157190943535379e-11,2.8402115443759523e-12,1.15531231294939e-11,9.837283227937806e-13,3.906444350072613,0.12397856598147841,0.2788868088953391,-0.00011335551431683206,0,3
9.808770480239024e-12,2.8639148199275233e-12,1.701242359630564e-11,1.2783601086115718e-12,4.011002907206094,0.14639475853390493,0.3207681627942338,-0.002961622114101864,1,3
3.8343569367342185e-11,6.648108024757432e-12,1.7842326811548746e-11,1.49696126262451e-12,3.944326841507438,0.12996146353108917,0.29489750081832294,-0.008895319814086412,1,3
8.459863085792274e-12,2.8589014931641482e-12,1.2358985338939273e-11,1.0589208833725364e-12,3.9783135020646645,0.14246023031516425,0.31526197228138547,0.0034428115814985963,1,3
1.111388373825844e-11,2.33418594300271e-12,1.1783745449362493e-11,8.833479661571308e-13,3.888302907852347,0.12075971552510613,0.2779865129090281,0.002652725813259816,0,3
2.6874279546263267e-11,3.3253455224801223e-12,1.1234960804126195e-11,1.0790217391977048e-12,3.965062804086746,0.17065632897831645,0.25840543076925243,-0.005810560728348124,0,3
1.3397415992629858e-11,3.2000138515608955e-12,1.3719042076664077e-11,1.1564685129690215e-12,3.9954355426159855,0.13394168561385114,0.2926676080824646,0.0023703019900081107,1,3
1.3011496386436287e-11,2.8243434201404912e-12,1.0496279600995851e-11,9.169707633143594e-13,3.9274320692257874,0.1578769705592607,0.2963471739105814,-0.01176103812436029,1,3
1.4755530231083697e-10,1.741304015044597e-11,9.67638512122878e-12,1.966118276136463e-12,3.815795552237676,0.176138780677669,0.24374903828617242,0.005061197863559632,1,3
1.0777314738088852e-09,9.243662256719083e-11,4.3518473632755673e-11,6.267082305592133e-12,3.5003160169426204,0.21002683386676302,0.21182248082705693,-0.004667249119397561,1,3
2.658440176345651e-10,4.4354927381885405e-11,2.5986220625801238e-11,4.652791441081146e-12,3.233377606818292,0.19346303379917024,0.20026133033447832,0.0022147917437978816,1,3
3.845877403188712e-10,5.104759527885257e-11,2.2729898703161845e-11,2.576393579902631e-12,3.491035944202774,0.15255331995948088,0.25650731687418155,0.013473734442805519,1,3
9.800081189837752e-10,7.243137044101868e-11,3.1966988731309985e-11,7.405283366068702e-12,3.5998242120981896,0.14525650667486623,0.21593273975497573,0.00283279058986025,1,3
6.758490069202957e-12,3.1438296548528943e-12,1.1389963970267315e-11,1.0860545444550327e-12,3.9667304460174737,0.1428060522874407,0.2485933269193341,-0.007758041956255153,1,3
2.8038473870515084e-10,3.4724446609450964e-11,2.483837101206071e-11,3.403463342098292e-12,3.9279458702742556,0.15688260166902698,0.33982104059347795,0.004039827588061163,1,3
4.108176209152856e-12,3.50226379678014e-12,1.3348874814299803e-11,1.2267076644169899e-12,4.006184255845597,0.1748172203318735,0.25650595446541713,0.00036865992591395697,1,3
6.100131403380019e-10,3.5197900670514286e-11,2.208421783697431e-11,3.502661584235046e-12,3.0992997225361005,0.40437255158705654,0.26563312951848,-0.00662968449213309,1,3
9.400933615650689e-11,1.3098281686061694e-11,1.7568326546892003e-11,1.8665959176620806e-12,3.915843024412535,0.14407669249244098,0.2918389795722043,-0.0038459892519610867,1,3
3.891384625003902e-12,7.8132565051008e-13,2.876315382490857e-12,1.6825542201693303e-13,3.7945774604092755,0.40743911503201297,0.36007123387083273,-0.0031399455783963264,0,4
2.2106139066744233e-12,4.926206501790465e-13,1.5275015899024655e-12,1.2123363704457344e-13,3.8856482304810975,0.21830737786660515,0.28210123101899326,0.0029634969771741354,1,4
2.588870587582802e-12,5.327031390139239e-13,2.146156398901108e-12,1.1652069712129458e-13,3.931801372527729,0.2899663767710427,0.33102247858119105,-0.007770525785131488,0,4
3.697760710089326e-12,6.158764620463508e-13,1.7351551037289636e-12,1.147424524796096e-13,3.7119500540170316,0.4417601642048494,0.36865022633127964,0.002155699571770203,1,4
7.756876950975987e-12,7.265674786179304e-13,2.692201571974261e-12,1.5721265606290248e-13,3.3854225713003716,0.40096669527376494,0.3126984496846463,-0.0020738148622170055,0,4
4.852842754960309e-12,3.669766412095627e-13,3.7118041349112754e-13,7.560849058778069e-14,3.7176802967104976,0.4015414687285015,0.25060320623377585,-0.006663203804921993,0,4
2.999435362447267e-12,6.984120878861493e-13,3.2776721851630203e-12,2.7066098917180603e-13,3.92703491209116,0.11213844809047645,0.3386086767975598,-0.007223968209594292,1,5
4.0072626107728084e-12,8.091231185303442e-13,3.81983735781035e-12,3.7865220166091e-13,3.9575599573609885,0.13500561986018808,0.29494731793682577,0.006277509344997911,1,5
2.7474352371656505e-12,8.976677782816311e-13,3.021169591374694e-12,3.082535025933049e-13,3.7471290951809215,0.10267815704711511,0.3530697056604675,-0.010398463007472705,0,5
2.4101625323410277e-12,8.416394298123276e-13,4.560785053964169e-12,3.041128688877114e-13,3.9627828807904857,0.11987219891118184,0.32090405694308927,0.0002479694281094716,1,5
4.339204965410141e-12,5.578352247961542e-13,2.1700054624331706e-12,2.2177987758113402e-13,3.825448028257848,0.09352779646688644,0.3028265051473377,-0.007999770775312833,1,5
2.297094161620174e-12,8.707012753734864e-13,3.7449684018025375e-12,3.0172189284163107e-13,3.83837221265636,0.1433331788078954,0.334045452290044,0.0073322675225361905,1,5
2.410459582461157e-12,8.809302739575846e-13,3.4683387145415026e-12,2.877233595598106e-13,3.9098456860936213,0.13401181084203986,0.39299226395780096,-0.0058647264838066985,1,5
1.9421050534909317e-12,6.229745298060349e-13,4.031000566471771e-12,3.3941889402518003e-13,3.9426488942806968,0.15362566877882372,0.39272373257792464,-0.0031029648335693127,1,5
2.726381081248958e-12,6.623619665355692e-13,2.820581012389357e-12,2.8361633064717563e-13,3.9579844689449244,0.15616299594927543,0.3458512222826729,-0.004521789433039722,1,5
2.1129257893573064e-12,6.484107895044922e-13,2.490027671243671e-12,2.9786786072108115e-13,3.8781313541919085,0.11378053842360154,0.2903574831895983,-0.0009951387139031144,0,5
2.3217594535305164e-12,6.509674866240773e-13,3.810656375519139e-12,2.7802902461239487e-13,3.8534661926651,0.12427068035456068,0.37613222166600724,-0.007282178108478201,1,5
1.9462389267366037e-12,4.667201939845821e-13,1.5900785526373303e-12,3.07957121897825e-13,3.8849363018448946,0.11644494189878886,0.3096432236258821,-0.003935816340349772,1,5
2.6560935835885928e-12,6.293524238882194e-13,1.7564502726323336e-12,2.920086771354906e-13,3.9262844700639903,0.13584084171134486,0.2362192728910655,0.004433112080096797,0,5
2.8044107515605015e-12,1.050893600920163e-12,2.8095081593878896e-12,3.308695464433419e-13,3.856333377721922,0.1335401184551272,0.40433446553769753,-0.0016814159465251923,1,5
2.4685371814316963e-12,5.038701683444584e-13,4.244972605984589e-12,2.6593473694913857e-13,3.9783835792380566,0.13186967979008124,0.3813539221530361,-0.0015361341523338092,0,5
1.970617546451813e-12,9.180245015813144e-13,4.4910462422092e-12,3.4923890103566487e-13,3.9513860226301976,0.17577788234919048,0.36901198286179165,0.008937463932688423,1,5
2.931753305765674e-12,7.437743051112809e-13,4.553685203774549e-12,3.962919211684756e-13,3.7353434107139707,0.15614241216865513,0.386909346095214,-0.0021151935393958618,0,5
1.9161193705705926e-12,6.721299877868837e-13,3.727062695241909e-12,3.0693685221397375e-13,3.922400196582256,0.15981619676563308,0.3556127714959483,-0.007537762110606171,1,5
1.9346995770469933e-12,9.55536985879485e-13,2.127703607176483e-12,4.052915890782546e-13,3.852897814765494,0.1106377339066284,0.31354337284637895,0.009280808523745295,0,5
1.8134295061715659e-12,6.194885800213039e-13,1.961960808679909e-12,3.274217849959293e-13,3.8983874262842675,0.13763813717097206,0.3375290635374044,-0.0011309447386720988,0,5
1.7468442003083975e-12,4.750901374030073e-13,2.347419610473501e-12,2.6366674049418335e-13,3.810479989735566,0.10281344678554136,0.3394771894618744,-0.007512124023943553,1,5
2.209362004644407e-12,6.110457076125575e-13,3.6117865374998307e-12,3.15783558402372e-13,3.8989126748999148,0.1132965243758395,0.36591613410473883,-0.0024791862549082343,0,5
1.8165244146357997e-12,7.226878642922415e-13,2.412301725339352e-12,2.72349254648241e-13,3.5895158237257743,0.1563787167504462,0.38617182948194767,-0.00502572310456203,0,5
1.8618441873585324e-12,5.865964638006857e-13,1.3599794143923605e-12,3.2746149882685585e-13,3.93429154120237,0.12389003026081369,0.28663017044916755,-0.0015972110745074378,1,5
2.45160410486693e-12,7.787308011896845e-13,3.4415946669181453e-12,3.2167134088829375e-13,3.7655377012674496,0.1441550222920845,0.36589392910714386,-0.0008865035762845072,0,5
5.56602287146076e-11,5.0307089147084586e-12,7.625820083465737e-12,6.185263228702904e-13,3.955606600904577,0.2923506179260702,0.3151680246125918,-0.001317647154723967,0,6
1.879586311749882e-11,1.869609646378156e-12,7.03605434635424e-12,4.2562549938351386e-13,3.9467868027431825,0.369447061297965,0.35683592948750636,-0.015989898889441242,1,6
1.4669717917570555e-11,2.5368654974097264e-12,7.374389249761366e-12,3.4636210826120757e-13,3.8637488113666993,0.38282074183655723,0.3306486611226568,-0.012798876164108016,0,6
4.771169056799466e-11,6.05941661020829e-12,7.59011295906952e-12,7.213828192310872e-13,3.8707622321977224,0.3534317357890489,0.2997464612225508,-0.01012867900119591,1,6
