iter	Logloss
0	0.6849497119
1	0.6777555606
2	0.670815582
3	0.664054401
4	0.6587382547
5	0.6536901692
6	0.6472837572
7	0.6410648887
8	0.6352733197
9	0.6308401012
10	0.6238446677
11	0.6152001624
12	0.6059634281
13	0.5995074896
14	0.5939990186
15	0.5852190533
16	0.5794186763
17	0.5723742334
18	0.5695525198
19	0.5640187196
20	0.5605843717
21	0.5576110183
22	0.5525671608
23	0.548085788
24	0.5455761024
25	0.5416496806
26	0.5374349682
27	0.5329089872
28	0.5290850957
29	0.5241359599
30	0.5209354999
31	0.5176965118
32	0.5149201269
33	0.512515244
34	0.5095842814
35	0.5057058447
36	0.5012117786
37	0.4976475904
38	0.4939060841
39	0.491195396
40	0.487834637
41	0.4850715328
42	0.4817460036
43	0.4780256555
44	0.475438915
45	0.4721050636
46	0.4692477449
47	0.4665541438
48	0.4638205966
49	0.4603560734
50	0.453779056
51	0.4518632462
52	0.4494293604
53	0.4483936393
54	0.4463373628
55	0.4424620765
56	0.4394304288
57	0.4357986062
58	0.434018814
59	0.4320222267
60	0.4289316257
61	0.4271306353
62	0.4248996186
63	0.4215853783
64	0.4200723453
65	0.4184479445
66	0.416243583
67	0.4133280984
68	0.4108450083
69	0.4087531131
70	0.4063691026
71	0.4051302327
72	0.4029596628
73	0.4016098483
74	0.4002915329
75	0.3984838556
76	0.3945888125
77	0.3919819066
78	0.3900509193
79	0.3889501351
80	0.3876125409
81	0.3864623403
82	0.3840473626
83	0.3818837364
84	0.3811731757
85	0.3796645873
86	0.3758074433
87	0.3743379867
88	0.3730367454
89	0.3700954851
90	0.36759131
91	0.366213134
92	0.3644331218
93	0.3611606222
94	0.3593562618
95	0.3575333609
96	0.354322737
97	0.3526432789
98	0.3499505051
99	0.3483680246
100	0.3464431227
101	0.3437728737
102	0.341676903
103	0.339694483
104	0.3378584904
105	0.3363997334
106	0.3333271802
107	0.330920723
108	0.3295200188
109	0.3283526423
110	0.3255095073
111	0.3228345944
112	0.3184136625
113	0.3153563576
114	0.3136162857
115	0.3124044427
116	0.310826221
117	0.3087598529
118	0.3073728709
119	0.305659857
120	0.3039494798
121	0.3021153599
122	0.3011055683
123	0.3003340622
124	0.2978708639
125	0.2967641565
126	0.2944560084
127	0.2929933848
128	0.2909827107
129	0.287711713
130	0.2844753463
131	0.2828532724
132	0.2810356907
133	0.279371991
134	0.2772942398
135	0.2762751788
136	0.2749729561
137	0.2731438668
138	0.2718573321
139	0.2697162046
140	0.268920765
141	0.2670218276
142	0.2655878038
143	0.2642914214
144	0.2632970816
145	0.2620204517
146	0.261367959
147	0.2596211235
148	0.257319595
149	0.2549492949
150	0.2533149065
151	0.2516507462
152	0.2508871836
153	0.2485945024
154	0.2467047872
155	0.2444653362
156	0.2431297808
157	0.2418849014
158	0.2388158163
159	0.2369350771
160	0.2342345482
161	0.2322193019
162	0.2292534191
163	0.2271333363
164	0.2265521155
165	0.2253333199
166	0.2239814342
167	0.2222236363
168	0.2201096378
169	0.2189936305
170	0.2162925371
171	0.2144764046
172	0.2141964527
173	0.2124484799
174	0.2108401862
175	0.2091870864
176	0.2079050708
177	0.2071383771
178	0.2063622683
179	0.2046791568
180	0.2034538975
181	0.202124014
182	0.2011410037
183	0.1997082025
184	0.1977329492
185	0.1952670308
186	0.1941730888
187	0.1925108863
188	0.1907286441
189	0.1889366997
190	0.187200436
191	0.186262455
192	0.1850495743
193	0.1839994018
194	0.1826514042
195	0.182160047
196	0.1812166235
197	0.1802125045
198	0.1791108681
199	0.1786876162
200	0.1784448435
201	0.1775103108
202	0.1761729799
203	0.1748271054
204	0.1727727171
205	0.1709244746
206	0.1697532846
207	0.1688669028
208	0.1669774128
209	0.1662682064
210	0.1655210617
211	0.1647876121
212	0.1637805933
213	0.1632215236
214	0.1619098768
215	0.1594816859
216	0.1583028117
217	0.1567541876
218	0.156205749
219	0.1550284976
220	0.1539593014
221	0.1531768875
222	0.1519709235
223	0.151110206
224	0.1499212546
225	0.14884445
226	0.1477634975
227	0.1462871185
228	0.1452510356
229	0.1441734034
230	0.143431969
231	0.1419785397
232	0.1416288742
233	0.14071569
234	0.1404174856
235	0.1393167487
236	0.1384080067
237	0.1376806858
238	0.1364772674
